"# of Use","使用次数"
"%1$s incl tax.","%1$s 含杂费。"
"%s - %s","%s - %s"
"%s Item(s)","%s件商品"
"ex. http://domain.com","例如 http://domain.com"
"leave blank if its not an image","如果不是图片请留空"
"must be in the allowed values list","必须从允许取值列表中选择"
"per page","每页"
"products","商品"
"px.","像素."
"save","优惠"
"select all","全选"
"unselect all","取消全选"
"whether to show ""All"" option in the ""Show X Per Page"" dropdown","是否显示全部中的显示每页X的下拉选项"
"x","x"
"Display Settings","显示设置"
"Enable WYSIWYG","激活高级编辑器"
"WYSIWYG Editor","高级编辑器"
"Use Content-Disposition","使用内容配置"
"Time format","时间格式"
"Base Image","基础图"
"Small Image","小图"
"Postal Code is Optional for the following countries","邮政编码是在下列国家可选"
"Store Contact Telephone","联系电话"
"Store Contact Address","联系地址"
"Redirect to Base URL if requested URL doesn\'t match it","重定向到相应的URL请求的URL，如果它不匹配"
"Show notice if JavaScript is disabled","JavaScript被禁用时是否显示提示"
"Pagination Frame","分页框架"
"How many Links to display at once","一次显示多少连接"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","如果当前帧的位置并不包括至上页，会使链接到当前位置正/负此值"
"Alternative text for Previous link in pagination menu. If empty, default arrow image will used","替代文字在分页菜单上的连接。如果为空，将使用默认的箭头"
"Alternative text for Next Link in pagination menu. If empty, default arrow image will used","替代文字在分页菜单下一个环节。如果为空，将使用默认的箭头形象"
"Use SID on Frontend","在前台使用SID"
"Allow All Products per Page","分类允许显示所有商品"
"Date & Time Custom Options","日期和时间自定义选项"
"Show gender","显示性别"
"Enable Onepage Checkout","激活单页结账"
"Mail Sending Settings","邮件发送设置"
"Login is Case Sensitive","登录是否区分大小写"
"unselect all","取消全选"
"Assigned Products","指定商品"
"Retrieve category data","分类检索数据"
"Example format 200x300","示例格式200x300"
"Allowed file types (jpeg, gif, png).","支持格式(jpeg, gif, png)."
"Compare list successfully cleared","成功清除比较列表"
"Images","图片"
"Config CloudZoom","商品放大镜设置"
"Enable CloudZoom","启用放大镜"
"Fixed Dimension","固定尺寸"
"Fit to Size","合适的大小"
"Zoom Width","放大(缩小)窗口宽度"
"Zoom Height","放大(缩小)窗口高度"
"Position","位置"
"adjustX","窗口的X坐标"
"adjustY","窗口的Y坐标"
"Effect","效果"
"Tint colour","颜色"
"Tint Opacity","透明度"
"Lens Opacity","镜头透明度"
"Smooth Move","平滑移动"
"Show Title","显示标题"
"Title Opacity","标题透明度"
"None","没有"
"Tint","淡色"
"Soft Focus","软焦点"
"left","左边"
"right","右边"
"top","顶部"
"bottom","底部"
"inside","内部"
"Auto","自动"
"Width","宽"
"Height","高"
"Both","两者"
"specify width.","指定宽"
"If 'auto' is specified,the width will be the same as the small image.","如果指定了'auto',宽度和小图一样。"
"If 'auto' is specified, the height will be the same as the small image.","如果指定了'auto',高度和小图的一样。"
"Colours should be specified in hex format, e.g. '#aa00aa'.","颜色必须指定为16进制，例如'#aa00aa'。"
"Where 0 is fully transparent, and 1 is fully opaque.","0为透明，1为完全不透明。"
"The higher the number, the smoother/more drifty the movement will be. 1 = no smoothing.","数字越大，移动越平滑。1表示不平滑。"
"Where 0 is fully transparent, and 1 is fully opaque.","0为透明，1为完全不透明。"
"Images","图片"
"Color Value","色块"
"Upload Images","上传图片"
"Delete Image","删除图片"
"Add Option","添加选项"
"Default Store View","默认商店界面"
"Change attribute set","更改属性组"
"Recurring Profile","定期扣款"
"Enable Recurring Profile","启用定期扣款"
"Products with recurring profile participate in catalog as nominal items.","使定期扣款商品显示在分类中."
"Gift Options","礼品选项"
"Use in Quick Search","使用快速搜索"
"Use in Advanced Search","使用高级搜索"
"Use for Promo Rule Conditions","可用于促销规则条件"
"Allow HTML Tags on Frontend","允许使用 HTML 标签"
"Used in Product Listing","可用于商品列表筛选"
"Used for Sorting in Product Listing","可用于商品列表排序"
"Use in Layered Navigation","用于商品筛选"
"Allow Guests to Write Reviews","允许未注册用户发表评论"
"Allow did not buy to Write Reviews","允许未购买用户发表评论"
"Products per Page on Grid Allowed Values","图片模式下每页商品显示数"
"Products per Page on Grid Default Value","每页图片商品数量的默认"
"Products per Page on List Allowed Values","单栏列表模式下每页商品显示数"
"Products per Page on List Default Value","每页列表商品数量的默认值"
"Product Listing Sort by","商品列表排序默认"
"Allow Dynamic Media URLs in Products and Categories","允许商品和分类的动态媒体URLs"
"Comma-separated.","以半角逗号分隔."
"Must be in the allowed values list.","必须从允许取值列表中选择."
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","是否显示全部中的显示每页X的下拉选项."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","例句:{{media url="path/to/image.jpg"}} {{skin url="path/to/picture.gif"}}.动态指令解析影响分类的性能."
"Minimum Lines per Page","每页最小行数"
"Allow Alert When Product Price Changes","允许价格变化时提醒"
"Price Alert Email Template","价格提醒邮件的模板"
"Allow Alert When Product Comes Back in Stock","允许有库存时提醒"
"Stock Alert Email Template","库存提醒邮件的模板"
"Default Recently Viewed Products Count","默认“最新查看商品”显示数量"
"Default Recently Compared Products Count","默认“最近比较商品”显示数量"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","基础货币范围定义(“货币设定”>“货币选项”>“基础货币”)."
"Layered Navigation","商品筛选"
"Automatic","自动"
"Manual","手工"
"Price Navigation Step Calculation","价格筛选区间"
"Apply Layered Navigation if Search Results are Less Than","应用商品筛选，如果搜索结果少于"
"Applies for ""Like"" search type only.","仅应用于“(Like)相似”搜索类型."
"Enter ""0"" to enable layered navigation for any number of results.","请输入“0”激活商品筛选."
"Like","相似"
"Fulltext","全文检索"
"Combine (Like and Fulltext)","组合(相似 和 全文检索)"
"Autogenerated Site Map","自动生成网站地图"
"Use Categories Path for Product URLs","使用类别商品的网址路径"
"Create Permanent Redirect for old URLs if Url key changed","创建旧网址永久重定向如果URL关键改变"
"Order Item Status to Enable Downloads","启用下载的订单项状态"
"Disable Guest Checkout if Cart Contains Downloadable Items","购物车中有可下载商品时，禁用访客结账"
"Guest checkout will only work with shareable.","访客结账仅与可共享一起启用."
"Date Fields Order","日期字段排序"
"Time Format","时间格式"
"Use four-digit year format.","请使用四位数年份格式."
"Display Out of Stock Products","显示缺货商品"
"Only X left Threshold","在库存少于 X 的时候提示缺货"
"Qty for Items' Status to Become Out of Stock","库存不足数"
"Enable Qty Increments","开启库存递增"
"Automatically Return Credit Memo Item to Stock","自动返回退货商品到库存"
"Valid values range: from 0.0 to 1.0.","取值范围从 0.0 到 1.0"
"total_sales","销量"
"Total Sales","销量"
"Alias:","别名："
"Picture:","图片："
"The category has been saved.","分类保存成功."
"The category has been deleted.","分类删除成功."
